product_id,product_title,rating,total_reviews,price,top_reviews
itm2ea42dec44bca,Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,4.7,873,"₹85,900",Apple || M2
itmcd041a34ee857,Apple Macbook Pro M4 Pro - (24 GB/1 TB SSD/macOS Sequoia) MX2J3HN/A,4.5,0,"₹2,03,990",Apple || M4 Pro
